Locationid,RecipeName,PLU,Salesdate,Quantity,NetSalesPrice,CostPrice,Year,Month,Day,WeekDay,YearDay
446,Extra Chicken (40g),2110,2017-03-01 00:00:00.000,1,1.37,0.146213333333333,2017,3,1,3,60
446,Extra Buffalo Mozzarella (62.5g),2909,2017-03-04 00:00:00.000,2,0,0.449166666666666,2017,3,4,6,63
446,No Goats Cheese (25g),2297,2017-03-03 00:00:00.000,-2,0,0.176254557152048,2017,3,3,5,62
446,No Goats Cheese (25g),2297,2017-03-05 00:00:00.000,-1,0,0.176254557152048,2017,3,5,0,64
446,No Mushroom Cup (30g),2050,2017-03-02 00:00:00.000,-1,0,0.072846711552885,2017,3,2,4,61
446,No Mushroom Cup (30g),2050,2017-03-03 00:00:00.000,-2,0,0.072846711552885,2017,3,3,5,62
405,American Hottest Classic,2152,2017-03-03 00:00:00.000,1,10,1.72993252568306,2017,3,3,5,62
405,American Hottest Classic,2152,2017-03-04 00:00:00.000,2,10,1.72993252568306,2017,3,4,6,63
405,American Hottest Classic,2152,2017-03-05 00:00:00.000,1,10,1.72993252568306,2017,3,5,0,64
405,Etna Classic,2688,2017-03-04 00:00:00.000,1,9.46,1.26968344651084,2017,3,4,6,63
405,Pianta Romana,2226,2017-03-01 00:00:00.000,2,8.585,1.31425003637436,2017,3,1,3,60
405,Pianta Romana,2226,2017-03-03 00:00:00.000,1,9.54,1.31425003637436,2017,3,3,5,62
405,Pianta Romana,2226,2017-03-04 00:00:00.000,1,9.54,1.31425003637436,2017,3,4,6,63
405,GF Picc Margherita,2920,2017-03-05 00:00:00.000,1,3.29,0.673173458873892,2017,3,5,0,64
405,Scoop Vanilla Gelato,2637,2017-03-01 00:00:00.000,4,0,0.0988477777777779,2017,3,1,3,60
405,Scoop Vanilla Gelato,2637,2017-03-02 00:00:00.000,12,0,0.0988477777777779,2017,3,2,4,61
405,Scoop Vanilla Gelato,2637,2017-03-03 00:00:00.000,15,0,0.0988477777777779,2017,3,3,5,62
405,Scoop Vanilla Gelato,2637,2017-03-04 00:00:00.000,29,0,0.0988477777777779,2017,3,4,6,63
405,Scoop Vanilla Gelato,2637,2017-03-05 00:00:00.000,17,0,0.0988477777777779,2017,3,5,0,64
405,Sicilian Lemonade 300ml,2497,2017-03-01 00:00:00.000,2,2.08,0.296696035242291,2017,3,1,3,60
